sample_id	assembly_mat	assembly_pat	population	accession_mat	accession_pat	sex
HG02145	HG02145.pri.mat.f1_v2	HG02145.alt.pat.f1_v2	African Ancestry From Barbados In The Caribbean	GCA_018852585.1	GCA_018852595.1	male
HG02148	HG02148.pri.mat.f1_v2	HG02148.alt.pat.f1_v2	Peruvian In Lima, Peru	GCA_018471535.1	GCA_018471525.1	female
HG02257	HG02257.pri.mat.f1_v2	HG02257.alt.pat.f1_v2	African Caribbean In Barbados	GCA_018466845.1	GCA_018466835.1	female
HG02486	HG02486.pri.mat.f1_v2	HG02486.alt.pat.f1_v2	African Caribbean In Barbados	GCA_018467015.1	GCA_018467005.1	male
HG02559	HG02559.pri.mat.f1_v2	HG02559.alt.pat.f1_v2	African Caribbean In Barbados	GCA_018466985.1	GCA_018466855.1	female
HG02572	HG02572.pri.mat.f1_v2	HG02572.alt.pat.f1_v2	Gambian In Western Division, The Gambia	GCA_018470445.1	GCA_018470435.1	male
HG02622	HG02622.pri.mat.f1_v2	HG02622.alt.pat.f1_v2	Gambian In Western Division, The Gambia	GCA_018469875.1	GCA_018469925.1	female
HG02630	HG02630.pri.mat.f1_v2	HG02630.alt.pat.f1_v2	Gambian In Western Division, The Gambia	GCA_018469955.1	GCA_018469945.1	female
HG02717	HG02717.pri.mat.f1_v2	HG02717.alt.pat.f1_v2	Gambian In Western Division, The Gambia	GCA_018469935.1	GCA_018470425.1	male
HG02723	HG02723.pri.mat.f1_v2	HG02723.alt.pat.f1_v2	Gambian In Western Division, The Gambia	GCA_018504065.1	GCA_018504075.1	female
HG02818	HG02818.pri.mat.f1_v2	HG02818.alt.pat.f1_v2	Gambian In Western Division Of Gambia	GCA_018503585.1	GCA_018503575.1	female
HG02886	HG02886.pri.mat.f1_v2	HG02886.alt.pat.f1_v2	Gambian In Western Division, The Gambia	GCA_018470455.1	GCA_018470465.1	female
HG03098	HG03098.pri.mat.f1_v2	HG03098.alt.pat.f1_v2	Mende In Sierra Leone	GCA_018506165.1	GCA_018506155.1	male
HG03453	HG03453.pri.mat.f1_v2	HG03453.alt.pat.f1_v2	Mende In Sierra Leone	GCA_018472855.1	GCA_018473305.1	female
HG03486	HG03486.pri.mat.f1_v2	HG03486.alt.pat.f1_v2	Mende Of Sierra Leone	GCA_018503525.1	GCA_018503245.1	female
HG03492	HG03492.pri.mat.f1_v2	HG03492.alt.pat.f1_v2	Punjabi In Lahore, Pakistan	GCA_018505845.1	GCA_018505835.1	male
HG03516	HG03516.pri.mat.f1_v2	HG03516.alt.pat.f1_v2	Esan In Nigeria	GCA_018469425.1	GCA_018469415.1	female
HG03540	HG03540.pri.mat.f1_v2	HG03540.alt.pat.f1_v2	Gambian In Western Division, The Gambia	GCA_018473295.1	GCA_018473315.1	female
HG03579	HG03579.pri.mat.f1_v2	HG03579.alt.pat.f1_v2	Mende In Sierra Leone	GCA_018472825.1	GCA_018472835.1	male
NA18906	NA18906.pri.mat.f1_v2	NA18906.alt.pat.f1_v2	Yoruban In Ibadan, Nigeria	GCA_018503255.1	GCA_018503285.1	female
NA19240	NA19240.pri.mat.f1_v2	NA19240.alt.pat.f1_v2	Yoruban	GCA_018503275.1	GCA_018503265.1	female
NA20129	NA20129.pri.mat.f1_v2	NA20129.alt.pat.f1_v2	Southwest USA	GCA_018504635.1	GCA_018504625.1	female
NA21309	NA21309.pri.mat.f1_v2	NA21309.alt.pat.f1_v2	Kinyawa, Kenya	GCA_018504655.1	GCA_018504665.1	female
CHM1_CHM13	CHM1_20220129	CHM13v2_T2T	NewSynDip	CHM1_20220129	CHM13v2_T2T	female
HG00514	HG00514_hap1	HG00514_hap2	Southern Han Chinese	HG00514_hap1	HG00514_hap2	female
HG03125	HG03125_hap1	HG03125_hap2	Esan In Nigeria	HG03125_hap1	HG03125_hap2	female
NA12878	NA12878_hap1	NA12878_hap2	Non-Finnish European In Utah	NA12878_hap1	NA12878_hap2	female
HG02011	NA20847_h1	NA20847_h2		NA20847_h1	NA20847_h2	male
HG03009	HG02011_h1	HG02011_h2		HG02011_h1	HG02011_h2	male
HG03065	HG03009_h1	HG03009_h2		HG03009_h1	HG03009_h2	male
HG03683	HG03065_h1	HG03065_h2		HG03065_h1	HG03065_h2	female
NA19238	HG03683_h1	HG03683_h2		HG03683_h1	HG03683_h2	female
HG00732	HG03486_h1	HG03486_h2		HG03486_h1	HG03486_h2	female
HG02492	HG00732_h1	HG00732_h2		HG00732_h1	HG00732_h2	male
HG03371	HG02492_h1	HG02492_h2		HG02492_h1	HG02492_h2	male
NA12329	HG03371_h1	HG03371_h2		HG03371_h1	HG03371_h2	female
NA19983	NA19240_h1	NA19240_h2		NA19240_h1	NA19240_h2	female
HG00512	NA19983_h1	NA19983_h2		NA19983_h1	NA19983_h2	male
HG00513	HG00512_h1	HG00512_h2		HG00512_h1	HG00512_h2	female
HG00731	HG00513_h1	HG00513_h2		HG00513_h1	HG00513_h2	male
NA19239	NA12878_h1	NA12878_h2		NA12878_h1	NA12878_h2	male
NA24385	NA19239_h1	NA19239_h2		NA19239_h1	NA19239_h2	male
HG00096	NA24385_h1	NA24385_h2		NA24385_h1	NA24385_h2	male
HG00171	HG00096_h1	HG00096_h2		HG00096_h1	HG00096_h2	female
HG00864	HG00171_h1	HG00171_h2		HG00171_h1	HG00171_h2	female
HG01114	HG00864_h1	HG00864_h2		HG00864_h1	HG00864_h2	female
HG01505	HG01114_h1	HG01114_h2		HG01114_h1	HG01114_h2	male
HG01596	HG01505_h1	HG01505_h2		HG01505_h1	HG01505_h2	male
HG02587	HG01596_h1	HG01596_h2		HG01596_h1	HG01596_h2	female
HG03732	HG02587_h1	HG02587_h2		HG02587_h1	HG02587_h2	male
NA18534	HG03732_h1	HG03732_h2		HG03732_h1	HG03732_h2	male
NA18939	NA18534_h1	NA18534_h2		NA18534_h1	NA18534_h2	female
NA19650	NA18939_h1	NA18939_h2		NA18939_h1	NA18939_h2	male
NA20509	NA19650_h1	NA19650_h2		NA19650_h1	NA19650_h2	male
NA20847	NA20509_h1	NA20509_h2		NA20509_h1	NA20509_h2	female
